id,author,month.str
278,maechler,1997-11
279,maechler,1997-11
280,maechler,1997-11
281,maechler,1997-11
282,ihaka,1997-11
283,ihaka,1997-11
284,ihaka,1997-11
285,ihaka,1997-11
286,maechler,1997-11
287,maechler,1997-11
288,maechler,1997-11
289,maechler,1997-11
290,ihaka,1997-11
291,ihaka,1997-11
292,ihaka,1997-11
293,ihaka,1997-11
294,ihaka,1997-11
295,ihaka,1997-11
296,ihaka,1997-11
297,ihaka,1997-11
298,ihaka,1997-11
299,ihaka,1997-11
300,ihaka,1997-11
301,maechler,1997-11
302,maechler,1997-11
303,maechler,1997-11
304,maechler,1997-11
305,maechler,1997-11
306,maechler,1997-11
307,maechler,1997-11
308,maechler,1997-11
309,maechler,1997-11
310,maechler,1997-11
311,maechler,1997-11
312,maechler,1997-11
313,maechler,1997-11
314,maechler,1997-11
315,maechler,1997-11
316,maechler,1997-11
317,maechler,1997-11
318,maechler,1997-11
319,leisch,1997-11
320,leisch,1997-11
321,leisch,1997-11
322,leisch,1997-11
323,leisch,1997-11
324,ihaka,1997-12
325,ihaka,1997-12
326,ihaka,1997-12
327,maechler,1997-12
328,maechler,1997-12
329,maechler,1997-12
330,maechler,1997-12
331,maechler,1997-12
332,maechler,1997-12
333,maechler,1997-12
334,maechler,1997-12
335,maechler,1997-12
336,maechler,1997-12
337,maechler,1997-12
338,ihaka,1997-12
339,ihaka,1997-12
340,maechler,1997-12
341,maechler,1997-12
342,maechler,1997-12
343,leisch,1997-12
344,maechler,1997-12
345,maechler,1997-12
346,maechler,1997-12
347,maechler,1997-12
348,maechler,1997-12
349,maechler,1997-12
350,maechler,1997-12
351,maechler,1997-12
352,maechler,1997-12
353,maechler,1997-12
354,maechler,1997-12
355,maechler,1997-12
356,maechler,1997-12
357,maechler,1997-12
358,maechler,1997-12
359,maechler,1997-12
360,maechler,1997-12
361,maechler,1997-12
362,maechler,1997-12
363,maechler,1997-12
364,maechler,1997-12
365,rgentlem,1997-12
366,rgentlem,1997-12
367,rgentlem,1997-12
368,rgentlem,1997-12
369,rgentlem,1997-12
370,ihaka,1997-12
371,(no author),1997-12
372,(no author),1997-12
373,maechler,1997-12
374,(no author),1997-12
375,maechler,1997-12
376,maechler,1997-12
377,maechler,1997-12
378,maechler,1997-12
379,maechler,1997-12
380,(no author),1997-12
381,rgentlem,1997-12
382,maechler,1997-12
383,maechler,1997-12
384,maechler,1997-12
385,maechler,1997-12
386,maechler,1997-12
387,ihaka,1997-12
388,ihaka,1997-12
389,ihaka,1997-12
390,ihaka,1997-12
391,ihaka,1997-12
392,ihaka,1997-12
393,ihaka,1997-12
394,ihaka,1997-12
395,pd,1997-12
396,ihaka,1997-12
397,ihaka,1997-12
398,ihaka,1997-12
399,ihaka,1997-12
400,ihaka,1997-12
401,maechler,1997-12
402,maechler,1997-12
403,maechler,1997-12
404,maechler,1997-12
405,maechler,1997-12
406,pd,1997-12
407,hornik,1997-12
408,hornik,1997-12
409,hornik,1997-12
410,leisch,1997-12
411,ihaka,1997-12
412,maechler,1997-12
413,maechler,1997-12
414,maechler,1997-12
415,maechler,1997-12
416,maechler,1997-12
417,maechler,1997-12
418,maechler,1997-12
419,maechler,1997-12
420,maechler,1997-12
421,maechler,1997-12
422,hornik,1997-12
423,hornik,1997-12
424,leisch,1997-12
425,ihaka,1997-12
426,thomas,1997-12
427,thomas,1997-12
428,ihaka,1997-12
429,ihaka,1997-12
430,ihaka,1997-12
431,ihaka,1997-12
432,ihaka,1997-12
433,maechler,1997-12
434,maechler,1997-12
435,maechler,1997-12
436,maechler,1997-12
437,maechler,1997-12
438,maechler,1997-12
439,maechler,1997-12
440,maechler,1997-12
441,ihaka,1997-12
442,ihaka,1997-12
443,ihaka,1997-12
444,ihaka,1997-12
445,maechler,1997-12
446,maechler,1997-12
447,maechler,1997-12
448,maechler,1997-12
449,maechler,1997-12
450,maechler,1997-12
451,maechler,1997-12
452,maechler,1997-12
453,maechler,1997-12
454,maechler,1997-12
455,maechler,1997-12
456,maechler,1997-12
457,maechler,1997-12
458,maechler,1997-12
459,maechler,1997-12
460,maechler,1997-12
461,ihaka,1997-12
462,maechler,1997-12
463,maechler,1997-12
464,maechler,1997-12
465,maechler,1997-12
466,maechler,1997-12
467,maechler,1997-12
468,maechler,1997-12
469,maechler,1997-12
470,pd,1997-12
471,maechler,1997-12
472,maechler,1997-12
473,maechler,1997-12
474,maechler,1997-12
475,maechler,1997-12
476,pd,1997-12
477,(no author),1997-12
478,(no author),1997-12
479,pd,1997-12
480,pd,1997-12
481,maechler,1997-12
482,maechler,1997-12
483,maechler,1997-12
484,maechler,1997-12
485,maechler,1997-12
486,maechler,1997-12
487,maechler,1997-12
488,maechler,1997-12
489,maechler,1997-12
490,thomas,1997-12
491,pd,1998-01
492,pd,1998-01
493,thomas,1998-01
494,thomas,1998-01
495,thomas,1998-01
496,thomas,1998-01
497,thomas,1998-01
498,thomas,1998-01
499,thomas,1998-01
500,thomas,1998-01
501,thomas,1998-01
502,pd,1998-01
503,pd,1998-01
504,pd,1998-01
505,pd,1998-01
506,pd,1998-01
507,pd,1998-01
508,pd,1998-01
509,maechler,1998-01
510,maechler,1998-01
511,maechler,1998-01
512,maechler,1998-01
513,maechler,1998-01
514,maechler,1998-01
515,maechler,1998-01
516,maechler,1998-01
517,maechler,1998-01
518,leisch,1998-01
519,leisch,1998-01
520,thomas,1998-01
521,maechler,1998-01
522,maechler,1998-01
523,maechler,1998-01
524,maechler,1998-01
525,maechler,1998-01
526,maechler,1998-01
527,rgentlem,1998-01
528,rgentlem,1998-01
529,rgentlem,1998-01
530,rgentlem,1998-01
531,ihaka,1998-01
532,rgentlem,1998-01
533,rgentlem,1998-01
534,hornik,1998-01
535,maechler,1998-01
536,maechler,1998-01
537,maechler,1998-01
538,leisch,1998-01
539,ihaka,1998-01
540,ihaka,1998-01
541,pd,1998-01
542,(no author),1998-01
543,pd,1998-01
544,pd,1998-01
545,hornik,1998-01
546,hornik,1998-01
547,hornik,1998-01
548,hornik,1998-01
549,hornik,1998-01
550,hornik,1998-01
551,hornik,1998-01
552,hornik,1998-01
553,hornik,1998-01
554,hornik,1998-01
555,hornik,1998-01
556,hornik,1998-01
557,hornik,1998-01
558,hornik,1998-01
559,rgentlem,1998-01
560,rgentlem,1998-01
561,rgentlem,1998-01
562,ihaka,1998-01
563,ihaka,1998-01
564,maechler,1998-01
565,maechler,1998-01
566,maechler,1998-01
567,maechler,1998-01
568,maechler,1998-01
569,maechler,1998-01
570,maechler,1998-01
571,ihaka,1998-01
572,ihaka,1998-01
573,ihaka,1998-01
574,ihaka,1998-01
575,ihaka,1998-01
576,leisch,1998-01
577,leisch,1998-01
578,leisch,1998-01
579,leisch,1998-01
580,ihaka,1998-01
581,paul,1998-01
582,paul,1998-01
583,paul,1998-01
584,leisch,1998-01
585,pd,1998-01
586,pd,1998-01
587,maechler,1998-01
588,maechler,1998-01
589,maechler,1998-01
590,maechler,1998-01
591,maechler,1998-01
592,maechler,1998-01
593,maechler,1998-01
594,maechler,1998-01
595,maechler,1998-01
596,maechler,1998-01
597,maechler,1998-01
598,paul,1998-01
599,paul,1998-01
600,ihaka,1998-01
601,ihaka,1998-01
602,ihaka,1998-01
603,ihaka,1998-01
604,paul,1998-01
605,ihaka,1998-01
606,paul,1998-01
607,leisch,1998-01
608,hornik,1998-01
609,ihaka,1998-01
610,ihaka,1998-01
611,ihaka,1998-01
612,rgentlem,1998-01
613,rgentlem,1998-01
614,leisch,1998-01
615,maechler,1998-01
616,maechler,1998-01
617,maechler,1998-01
618,maechler,1998-01
619,maechler,1998-01
620,maechler,1998-01
621,maechler,1998-01
622,maechler,1998-01
623,ihaka,1998-01
624,ihaka,1998-01
625,ihaka,1998-01
626,ihaka,1998-01
627,maechler,1998-01
628,maechler,1998-01
629,maechler,1998-01
630,maechler,1998-01
631,maechler,1998-01
632,maechler,1998-01
633,maechler,1998-01
634,maechler,1998-01
635,maechler,1998-01
636,maechler,1998-01
637,maechler,1998-01
638,maechler,1998-01
639,maechler,1998-01
640,maechler,1998-01
641,maechler,1998-01
642,maechler,1998-01
643,ihaka,1998-01
644,ihaka,1998-01
645,ihaka,1998-01
646,ihaka,1998-01
647,ihaka,1998-01
648,ihaka,1998-01
649,ihaka,1998-01
650,ihaka,1998-01
651,rgentlem,1998-01
652,rgentlem,1998-01
653,rgentlem,1998-01
654,rgentlem,1998-01
655,rgentlem,1998-01
656,rgentlem,1998-01
657,leisch,1998-01
658,ihaka,1998-01
659,leisch,1998-02
660,leisch,1998-02
661,leisch,1998-02
662,leisch,1998-02
663,leisch,1998-02
664,ihaka,1998-02
665,ihaka,1998-02
666,leisch,1998-02
667,leisch,1998-02
668,ihaka,1998-02
669,paul,1998-02
670,paul,1998-02
671,paul,1998-02
672,rgentlem,1998-02
673,paul,1998-02
674,rgentlem,1998-02
675,rgentlem,1998-02
676,ihaka,1998-02
677,leisch,1998-02
678,leisch,1998-02
679,leisch,1998-02
680,leisch,1998-02
681,leisch,1998-02
682,paul,1998-02
683,paul,1998-02
684,paul,1998-02
685,leisch,1998-02
686,maechler,1998-02
687,maechler,1998-02
688,maechler,1998-02
689,maechler,1998-02
690,maechler,1998-02
691,maechler,1998-02
692,maechler,1998-02
693,maechler,1998-02
694,maechler,1998-02
695,maechler,1998-02
696,maechler,1998-02
697,maechler,1998-02
698,maechler,1998-02
699,maechler,1998-02
700,hornik,1998-02
701,hornik,1998-02
702,leisch,1998-02
703,rgentlem,1998-02
704,rgentlem,1998-02
705,paul,1998-02
706,paul,1998-02
707,paul,1998-02
708,rgentlem,1998-02
709,pd,1998-02
710,pd,1998-02
711,pd,1998-02
712,rgentlem,1998-02
713,hornik,1998-02
714,hornik,1998-02
715,hornik,1998-02
716,hornik,1998-02
717,hornik,1998-02
718,hornik,1998-02
719,hornik,1998-02
720,hornik,1998-02
721,hornik,1998-02
722,hornik,1998-02
723,hornik,1998-02
724,hornik,1998-02
725,hornik,1998-02
726,hornik,1998-02
727,hornik,1998-02
728,hornik,1998-02
729,hornik,1998-02
730,hornik,1998-02
731,hornik,1998-02
732,hornik,1998-02
733,hornik,1998-02
734,ihaka,1998-02
735,ihaka,1998-02
736,hornik,1998-02
737,hornik,1998-02
738,hornik,1998-02
739,hornik,1998-02
740,hornik,1998-02
741,hornik,1998-02
742,hornik,1998-02
743,ihaka,1998-02
744,ihaka,1998-02
745,ihaka,1998-02
746,ihaka,1998-02
747,ihaka,1998-02
748,bates,1998-02
749,bates,1998-02
750,pd,1998-02
751,pd,1998-02
752,pd,1998-02
753,pd,1998-02
754,pd,1998-02
755,pd,1998-02
756,pd,1998-02
757,leisch,1998-02
758,leisch,1998-02
759,ihaka,1998-02
760,leisch,1998-02
761,leisch,1998-02
762,leisch,1998-02
763,hornik,1998-02
764,hornik,1998-02
765,hornik,1998-02
766,hornik,1998-02
767,hornik,1998-02
768,hornik,1998-02
769,hornik,1998-02
770,hornik,1998-02
771,hornik,1998-02
772,hornik,1998-02
773,hornik,1998-02
774,hornik,1998-02
775,maechler,1998-02
776,maechler,1998-02
777,maechler,1998-02
778,maechler,1998-02
779,maechler,1998-02
780,maechler,1998-02
781,maechler,1998-02
782,maechler,1998-02
783,maechler,1998-02
784,pd,1998-02
785,pd,1998-02
786,leisch,1998-02
787,leisch,1998-02
788,leisch,1998-02
789,leisch,1998-02
790,hornik,1998-02
791,hornik,1998-02
792,hornik,1998-02
793,hornik,1998-02
794,hornik,1998-02
795,hornik,1998-02
796,hornik,1998-02
797,hornik,1998-02
798,hornik,1998-02
799,hornik,1998-02
800,hornik,1998-02
801,hornik,1998-02
802,hornik,1998-02
803,hornik,1998-02
804,hornik,1998-02
805,hornik,1998-02
806,hornik,1998-02
807,hornik,1998-02
808,hornik,1998-02
809,hornik,1998-02
810,hornik,1998-02
811,ihaka,1998-03
812,ihaka,1998-03
813,ihaka,1998-03
814,hornik,1998-03
815,hornik,1998-03
816,maechler,1998-03
817,maechler,1998-03
818,maechler,1998-03
819,maechler,1998-03
820,maechler,1998-03
821,pd,1998-03
822,leisch,1998-03
823,pd,1998-03
824,pd,1998-03
825,pd,1998-03
826,maechler,1998-03
827,maechler,1998-03
828,maechler,1998-03
829,maechler,1998-03
830,maechler,1998-03
831,maechler,1998-03
832,maechler,1998-03
833,maechler,1998-03
834,maechler,1998-03
835,maechler,1998-03
836,maechler,1998-03
837,maechler,1998-03
838,maechler,1998-03
839,maechler,1998-03
840,maechler,1998-03
841,maechler,1998-03
842,maechler,1998-03
843,maechler,1998-03
844,maechler,1998-03
845,hornik,1998-03
846,hornik,1998-03
847,leisch,1998-03
848,maechler,1998-03
849,maechler,1998-03
850,maechler,1998-03
851,maechler,1998-03
852,hornik,1998-03
853,hornik,1998-03
854,hornik,1998-03
855,hornik,1998-03
856,hornik,1998-03
857,hornik,1998-03
858,hornik,1998-03
859,hornik,1998-03
860,hornik,1998-03
861,hornik,1998-03
862,hornik,1998-03
863,hornik,1998-03
864,hornik,1998-03
865,hornik,1998-03
866,hornik,1998-03
867,hornik,1998-03
868,pd,1998-03
869,ihaka,1998-03
870,ihaka,1998-03
871,ihaka,1998-03
872,ihaka,1998-03
873,ihaka,1998-03
874,ihaka,1998-03
875,ihaka,1998-03
876,ihaka,1998-03
877,hornik,1998-03
878,hornik,1998-03
879,hornik,1998-03
880,hornik,1998-03
881,hornik,1998-03
882,hornik,1998-03
883,hornik,1998-03
884,hornik,1998-03
885,hornik,1998-03
886,pd,1998-03
887,pd,1998-03
888,hornik,1998-03
889,maechler,1998-03
890,maechler,1998-03
891,pd,1998-03
892,(no author),1998-03
893,pd,1998-03
894,pd,1998-03
895,pd,1998-03
896,pd,1998-03
897,pd,1998-03
898,pd,1998-03
899,(no author),1998-03
900,hornik,1998-03
901,hornik,1998-03
902,hornik,1998-03
903,hornik,1998-03
904,hornik,1998-03
905,hornik,1998-03
906,bates,1998-03
907,ihaka,1998-03
908,bates,1998-03
909,bates,1998-03
910,bates,1998-03
911,bates,1998-03
912,bates,1998-03
913,bates,1998-03
914,ihaka,1998-03
915,leisch,1998-03
916,leisch,1998-03
917,leisch,1998-03
918,leisch,1998-03
919,ihaka,1998-03
920,ihaka,1998-03
921,leisch,1998-03
922,leisch,1998-03
923,maechler,1998-03
924,maechler,1998-03
925,maechler,1998-03
926,maechler,1998-03
927,maechler,1998-03
928,maechler,1998-03
929,maechler,1998-03
930,maechler,1998-03
931,maechler,1998-03
932,maechler,1998-03
933,maechler,1998-03
934,maechler,1998-03
935,maechler,1998-03
936,maechler,1998-03
937,maechler,1998-03
938,maechler,1998-03
939,ihaka,1998-03
940,ihaka,1998-03
941,ihaka,1998-03
942,ihaka,1998-03
943,maechler,1998-03
944,maechler,1998-03
945,maechler,1998-03
946,maechler,1998-03
947,leisch,1998-03
948,leisch,1998-03
949,leisch,1998-03
950,leisch,1998-03
951,leisch,1998-03
952,leisch,1998-03
953,leisch,1998-03
954,bates,1998-03
955,hornik,1998-03
956,hornik,1998-03
957,hornik,1998-03
958,hornik,1998-03
959,hornik,1998-03
960,hornik,1998-03
961,hornik,1998-03
962,hornik,1998-03
963,hornik,1998-03
964,hornik,1998-03
965,hornik,1998-03
966,hornik,1998-03
967,ihaka,1998-03
968,ihaka,1998-03
969,ihaka,1998-03
970,hornik,1998-03
971,maechler,1998-03
972,maechler,1998-03
973,maechler,1998-03
974,maechler,1998-03
975,maechler,1998-03
976,hornik,1998-03
977,hornik,1998-03
978,paul,1998-03
979,ihaka,1998-03
980,thomas,1998-03
981,ihaka,1998-03
982,hornik,1998-03
983,hornik,1998-03
984,hornik,1998-03
985,hornik,1998-03
986,maechler,1998-03
987,maechler,1998-03
988,maechler,1998-03
989,maechler,1998-03
990,maechler,1998-03
991,maechler,1998-03
992,maechler,1998-03
993,maechler,1998-03
994,maechler,1998-03
995,ihaka,1998-03
996,maechler,1998-03
997,maechler,1998-03
998,maechler,1998-03
999,maechler,1998-03
1000,maechler,1998-03
1001,maechler,1998-03
1002,maechler,1998-03
1003,maechler,1998-03
1004,maechler,1998-03
1005,maechler,1998-03
1006,maechler,1998-03
1007,bates,1998-03
1008,thomas,1998-04
1009,bates,1998-04
1010,ihaka,1998-04
1011,ihaka,1998-04
1012,leisch,1998-04
1013,leisch,1998-04
1014,maechler,1998-04
1015,maechler,1998-04
1016,maechler,1998-04
1017,maechler,1998-04
1018,maechler,1998-04
1019,maechler,1998-04
1020,maechler,1998-04
1021,leisch,1998-04
1022,leisch,1998-04
1023,ihaka,1998-04
1024,thomas,1998-04
1025,ihaka,1998-04
1026,ihaka,1998-04
1027,ihaka,1998-04
1028,maechler,1998-04
1029,maechler,1998-04
1030,maechler,1998-04
1031,maechler,1998-04
1032,maechler,1998-04
1033,maechler,1998-04
1034,maechler,1998-04
1035,pd,1998-04
1036,pd,1998-04
1037,pd,1998-04
1038,pd,1998-04
1039,pd,1998-04
1040,ihaka,1998-04
1041,ihaka,1998-04
1042,ihaka,1998-04
1043,ihaka,1998-04
1044,bates,1998-04
1045,bates,1998-04
1046,bates,1998-04
1047,ihaka,1998-04
1048,ihaka,1998-04
1049,ihaka,1998-04
1050,ihaka,1998-04
1051,maechler,1998-04
1052,maechler,1998-04
1053,maechler,1998-04
1054,maechler,1998-04
1055,maechler,1998-04
1056,maechler,1998-04
1057,maechler,1998-04
1058,maechler,1998-04
1059,ihaka,1998-04
1060,maechler,1998-04
1061,maechler,1998-04
1062,maechler,1998-04
1063,maechler,1998-04
1064,maechler,1998-04
1065,maechler,1998-04
1066,maechler,1998-04
1067,maechler,1998-04
1068,maechler,1998-04
1069,maechler,1998-04
1070,maechler,1998-04
1071,pd,1998-04
1072,hornik,1998-04
1073,thomas,1998-04
1074,pd,1998-04
1075,pd,1998-04
1076,pd,1998-04
1077,pd,1998-04
1078,bates,1998-04
1079,pd,1998-04
1080,maechler,1998-04
1081,maechler,1998-04
1082,maechler,1998-04
1083,maechler,1998-04
1084,maechler,1998-04
1085,maechler,1998-04
1086,maechler,1998-04
1087,maechler,1998-04
1088,maechler,1998-04
1089,leisch,1998-04
1090,pd,1998-04
1091,thomas,1998-04
1092,thomas,1998-04
1093,hornik,1998-04
1094,ihaka,1998-04
1095,ihaka,1998-04
1096,ihaka,1998-04
1097,ihaka,1998-04
1098,thomas,1998-04
1099,thomas,1998-04
1100,ihaka,1998-04
1101,ihaka,1998-04
1102,pd,1998-04
1103,ihaka,1998-04
1104,pd,1998-04
1105,pd,1998-04
1106,ihaka,1998-04
1107,ihaka,1998-04
1108,ihaka,1998-04
1109,maechler,1998-04
1110,maechler,1998-04
1111,maechler,1998-04
1112,maechler,1998-04
1113,maechler,1998-04
1114,maechler,1998-04
1115,maechler,1998-04
1116,maechler,1998-04
1117,maechler,1998-04
1118,maechler,1998-04
1119,maechler,1998-04
1120,maechler,1998-04
1121,maechler,1998-04
1122,maechler,1998-04
1123,maechler,1998-04
1124,maechler,1998-04
1125,maechler,1998-04
1126,maechler,1998-04
1127,maechler,1998-04
1128,maechler,1998-04
1129,maechler,1998-04
1130,maechler,1998-04
1131,maechler,1998-04
1132,maechler,1998-04
1133,maechler,1998-04
1134,maechler,1998-04
1135,maechler,1998-04
1136,maechler,1998-04
1137,maechler,1998-04
1138,thomas,1998-04
1139,thomas,1998-04
1140,ihaka,1998-04
1141,leisch,1998-04
1142,leisch,1998-04
1143,leisch,1998-04
1144,pd,1998-05
1145,maechler,1998-05
1146,maechler,1998-05
1147,pd,1998-05
1148,(no author),1998-05
1149,maechler,1998-05
1150,maechler,1998-05
1151,maechler,1998-05
1152,maechler,1998-05
1153,maechler,1998-05
1154,maechler,1998-05
1155,maechler,1998-05
1156,maechler,1998-05
1157,maechler,1998-05
1158,maechler,1998-05
1159,maechler,1998-05
1160,maechler,1998-05
1161,leisch,1998-05
1162,ihaka,1998-05
1163,ihaka,1998-05
1164,ihaka,1998-05
1165,ihaka,1998-05
1166,ihaka,1998-05
1167,pd,1998-05
1168,maechler,1998-05
1169,maechler,1998-05
1170,maechler,1998-05
1171,maechler,1998-05
1172,maechler,1998-05
1173,maechler,1998-05
1174,maechler,1998-05
1175,maechler,1998-05
1176,maechler,1998-05
1177,hornik,1998-05
1178,hornik,1998-05
1179,leisch,1998-05
1180,pd,1998-05
1181,pd,1998-05
1182,hornik,1998-05
1183,maechler,1998-05
1184,maechler,1998-05
1185,maechler,1998-05
1186,maechler,1998-05
1187,maechler,1998-05
1188,maechler,1998-05
1189,maechler,1998-05
1190,maechler,1998-05
1191,maechler,1998-05
1192,ihaka,1998-05
1193,ihaka,1998-05
1194,ihaka,1998-05
1195,hornik,1998-05
1196,hornik,1998-05
1197,hornik,1998-05
1198,hornik,1998-05
1199,hornik,1998-05
1200,hornik,1998-05
1201,hornik,1998-05
1202,hornik,1998-05
1203,hornik,1998-05
1204,hornik,1998-05
1205,maechler,1998-05
1206,maechler,1998-05
1207,maechler,1998-05
1208,maechler,1998-05
1209,maechler,1998-05
1210,maechler,1998-05
1211,pd,1998-05
1212,leisch,1998-05
1213,pd,1998-05
1214,leisch,1998-05
1215,hornik,1998-05
1216,hornik,1998-05
1217,hornik,1998-05
1218,maechler,1998-05
1219,maechler,1998-05
1220,maechler,1998-05
1221,maechler,1998-05
1222,maechler,1998-05
1223,maechler,1998-05
1224,leisch,1998-05
1225,pd,1998-05
1226,paul,1998-05
1227,rgentlem,1998-05
1228,pd,1998-05
1229,leisch,1998-05
1230,leisch,1998-05
1231,pd,1998-05
1232,leisch,1998-05
1233,leisch,1998-05
1234,leisch,1998-05
